,block_index,trial_index,trial_index_in_block,input,mah,action,events,trial_start,trial_end
0,1,0,1,"[Fraction(5, 1), Fraction(10, 1), Fraction(10, 1), Fraction(13, 1)]",0,"['5', '+', '10']","             events                 event_time position        value                nums result_stack        expression_stack
0       Trial_start 2023-09-08 17:15:57.176714      NaN  Trial_start     [5, 10, 10, 13]           []         [5, 10, 10, 13]
1    selectedNumber 2023-09-08 17:16:01.633308        3           13     [5, 10, 10, 13]         [13]         [5, 10, 10, 13]
2    selectedNumber 2023-09-08 17:16:03.734808        0            5     [5, 10, 10, 13]          [5]         [5, 10, 10, 13]
3  selectedOperator 2023-09-08 17:16:05.993331        4            +     [5, 10, 10, 13]       [5, +]         [5, 10, 10, 13]
4    selectedNumber 2023-09-08 17:16:06.853825        1           10     [5, 10, 10, 13]   [5, +, 10]         [5, 10, 10, 13]
5         calculate 2023-09-08 17:16:06.866782      NaN    calculate  [None, 15, 10, 13]           []  [None, (5+10), 10, 13]
6              Pass 2023-09-08 17:16:12.805330      NaN         Pass  [None, 15, 10, 13]           []  [None, (5+10), 10, 13]
7         Trial_end 2023-09-08 17:16:12.820279      NaN    Trial_end  [None, 15, 10, 13]           []  [None, (5+10), 10, 13]",2023-09-08 17:15:57.162684,2023-09-08 17:16:12.836300
1,1,1,1,"[Fraction(2, 1), Fraction(2, 1), Fraction(5, 1), Fraction(10, 1)]",0,"['5', '/', '2']","             events                 event_time position        value                nums result_stack      expression_stack
0       Trial_start 2023-09-08 17:16:12.884136      NaN  Trial_start       [2, 2, 5, 10]           []         [2, 2, 5, 10]
1    selectedNumber 2023-09-08 17:16:24.059773        2            5       [2, 2, 5, 10]          [5]         [2, 2, 5, 10]
2  selectedOperator 2023-09-08 17:16:25.533225        7            /       [2, 2, 5, 10]       [5, /]         [2, 2, 5, 10]
3    selectedNumber 2023-09-08 17:16:26.386696        1            2       [2, 2, 5, 10]    [5, /, 2]         [2, 2, 5, 10]
4         calculate 2023-09-08 17:16:26.401141      NaN    calculate  [2, 5/2, None, 10]           []  [2, (5/2), None, 10]
5              Pass 2023-09-08 17:16:31.526543      NaN         Pass  [2, 5/2, None, 10]           []  [2, (5/2), None, 10]
6         Trial_end 2023-09-08 17:16:31.543607      NaN    Trial_end  [2, 5/2, None, 10]           []  [2, (5/2), None, 10]",2023-09-08 17:16:12.862221,2023-09-08 17:16:31.558594
2,1,2,1,"[Fraction(1, 1), Fraction(3, 1), Fraction(7, 1), Fraction(8, 1)]",0,[],"        events                 event_time position        value          nums result_stack expression_stack
0  Trial_start 2023-09-08 17:16:31.601414      NaN  Trial_start  [1, 3, 7, 8]           []     [1, 3, 7, 8]
1         Pass 2023-09-08 17:16:45.117398      NaN         Pass  [1, 3, 7, 8]           []     [1, 3, 7, 8]
2    Trial_end 2023-09-08 17:16:45.135312      NaN    Trial_end  [1, 3, 7, 8]           []     [1, 3, 7, 8]",2023-09-08 17:16:31.582477,2023-09-08 17:16:45.151331
3,1,3,1,"[Fraction(2, 1), Fraction(5, 1), Fraction(6, 1), Fraction(11, 1)]",0,"['11', '-', '5', '6', '+', '6', '2', '*', '12']","              events                 event_time position        value                    nums result_stack                    expression_stack
0        Trial_start 2023-09-08 17:16:45.202162      NaN  Trial_start           [2, 5, 6, 11]           []                       [2, 5, 6, 11]
1     selectedNumber 2023-09-08 17:16:51.300495        3           11           [2, 5, 6, 11]         [11]                       [2, 5, 6, 11]
2   selectedOperator 2023-09-08 17:16:53.011150        5            -           [2, 5, 6, 11]      [11, -]                       [2, 5, 6, 11]
3     selectedNumber 2023-09-08 17:16:53.764424        1            5           [2, 5, 6, 11]   [11, -, 5]                       [2, 5, 6, 11]
4          calculate 2023-09-08 17:16:53.785857      NaN    calculate         [2, 6, 6, None]           []                [2, (11-5), 6, None]
5     selectedNumber 2023-09-08 17:16:58.419047        1            6         [2, 6, 6, None]          [6]                [2, (11-5), 6, None]
6   selectedOperator 2023-09-08 17:16:59.709702        4            +         [2, 6, 6, None]       [6, +]                [2, (11-5), 6, None]
7     selectedNumber 2023-09-08 17:17:00.807037        2            6         [2, 6, 6, None]    [6, +, 6]                [2, (11-5), 6, None]
8          calculate 2023-09-08 17:17:00.822059      NaN    calculate     [2, None, 12, None]           []         [2, None, ((11-5)+6), None]
9     selectedNumber 2023-09-08 17:17:02.404933        0            2     [2, None, 12, None]          [2]         [2, None, ((11-5)+6), None]
10  selectedOperator 2023-09-08 17:17:03.466999        6            *     [2, None, 12, None]       [2, *]         [2, None, ((11-5)+6), None]
11    selectedNumber 2023-09-08 17:17:04.287123        2           12     [2, None, 12, None]   [2, *, 12]         [2, None, ((11-5)+6), None]
12         calculate 2023-09-08 17:17:04.304066      NaN    calculate  [None, None, 24, None]           []  [None, None, (2*((11-5)+6)), None]
13         Trial_end 2023-09-08 17:17:04.322007      NaN    Trial_end  [None, None, 24, None]           []  [None, None, (2*((11-5)+6)), None]",2023-09-08 17:16:45.181241,2023-09-08 17:17:04.342940
4,1,4,1,"[Fraction(3, 1), Fraction(4, 1), Fraction(4, 1), Fraction(7, 1)]",0,"['7', '-', '4', '3', '+', '3', '6', '*', '4']","              events                 event_time position        value                    nums result_stack                   expression_stack
0        Trial_start 2023-09-08 17:17:04.391775      NaN  Trial_start            [3, 4, 4, 7]           []                       [3, 4, 4, 7]
1     selectedNumber 2023-09-08 17:17:06.072803        1            4            [3, 4, 4, 7]          [4]                       [3, 4, 4, 7]
2     selectedNumber 2023-09-08 17:17:13.445288        3            7            [3, 4, 4, 7]          [7]                       [3, 4, 4, 7]
3   selectedOperator 2023-09-08 17:17:18.529618        5            -            [3, 4, 4, 7]       [7, -]                       [3, 4, 4, 7]
4     selectedNumber 2023-09-08 17:17:19.427316        1            4            [3, 4, 4, 7]    [7, -, 4]                       [3, 4, 4, 7]
5          calculate 2023-09-08 17:17:19.445267      NaN    calculate         [3, 3, 4, None]           []                [3, (7-4), 4, None]
6     selectedNumber 2023-09-08 17:17:20.795063        1            3         [3, 3, 4, None]          [3]                [3, (7-4), 4, None]
7   selectedOperator 2023-09-08 17:17:21.782616        4            +         [3, 3, 4, None]       [3, +]                [3, (7-4), 4, None]
8     selectedNumber 2023-09-08 17:17:22.627844        0            3         [3, 3, 4, None]    [3, +, 3]                [3, (7-4), 4, None]
9          calculate 2023-09-08 17:17:22.641798      NaN    calculate      [6, None, 4, None]           []         [((7-4)+3), None, 4, None]
10    selectedNumber 2023-09-08 17:17:23.201950        0            6      [6, None, 4, None]          [6]         [((7-4)+3), None, 4, None]
11  selectedOperator 2023-09-08 17:17:24.270233        6            *      [6, None, 4, None]       [6, *]         [((7-4)+3), None, 4, None]
12    selectedNumber 2023-09-08 17:17:25.283364        2            4      [6, None, 4, None]    [6, *, 4]         [((7-4)+3), None, 4, None]
13         calculate 2023-09-08 17:17:25.299311      NaN    calculate  [None, None, 24, None]           []  [None, None, (((7-4)+3)*4), None]
14         Trial_end 2023-09-08 17:17:25.317250      NaN    Trial_end  [None, None, 24, None]           []  [None, None, (((7-4)+3)*4), None]",2023-09-08 17:17:04.371841,2023-09-08 17:17:25.338181
5,1,5,1,"[Fraction(6, 1), Fraction(9, 1), Fraction(12, 1), Fraction(13, 1)]",0,[],"        events                 event_time position        value            nums result_stack expression_stack
0  Trial_start 2023-09-08 17:17:25.386020      NaN  Trial_start  [6, 9, 12, 13]           []   [6, 9, 12, 13]",2023-09-08 17:17:25.367084,
